scenario,seed,dy,n,alpha_hat,se,alpha_0,se_alpha_0,n_pool,cover
S-A,seed05,5,12151,0.9492172649960109,0.06208144739814809,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed05,6,10110,0.9018287532239725,0.08303329160808244,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed05,7,8052,0.751872112618007,0.060449236879554454,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed05,8,6011,0.5626876148194321,0.057875751616124224,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed05,9,4051,0.5694910312308774,0.10772743466937545,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed05,10,2043,0.6193591905781111,0.1325333752071143,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed06,1,19164,1.5628953334278002,0.03547874294492749,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed06,2,17869,1.2421320082705345,0.03840556397067118,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed06,3,16078,1.036211892293891,0.04790673824232206,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed06,4,14182,0.9696115839099183,0.0520598343723727,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed06,5,12162,0.7934485388492025,0.05269115441823208,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed06,6,10095,0.7945201994741148,0.06383422617249077,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed06,7,8036,0.6448049989828554,0.05689795124280058,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed06,8,6056,0.5685592409995348,0.059679532512188466,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed06,9,4059,0.7085596237442995,0.15784330700505877,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed06,10,2005,0.6254428465619583,0.1685982709876195,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed07,1,19238,1.4716802222133263,0.026813104008623637,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed07,2,17871,1.1968990946707876,0.03504295638630177,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed07,3,15982,0.996522131904698,0.03860465956661982,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed07,4,14007,0.9229034115812507,0.0524832683038154,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed07,5,12013,0.8659422784196112,0.06801453307713971,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed07,6,10019,0.74349444487449,0.059029123142785134,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed07,7,7951,0.7416819487770376,0.07586315068779691,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed07,8,5995,0.5590893002710569,0.07591882503737461,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed07,9,3994,0.46865739611179535,0.09022343182566583,0.6135974220715061,0.011879225044444542,39600,1.0
S-A,seed07,10,2016,0.40481504180797667,0.1313686991187524,0.5555127929020539,0.014638833541489238,19579,1.0
S-A,seed08,1,19043,1.5426820105768304,0.03345934674495489,1.5104238409240127,0.0030003583280352477,191752,1.0
S-A,seed08,2,17607,1.206605575577096,0.03536610744999129,1.2061280537286685,0.003847884946266353,177946,1.0
S-A,seed08,3,15772,0.9892489575116726,0.040778000804755424,1.004387811710042,0.004980795429309839,159174,1.0
S-A,seed08,4,13828,0.9039636033556893,0.05230737771093526,0.9140971752021998,0.006501326399142036,139514,1.0
S-A,seed08,5,11839,0.7589256150853744,0.05002947543253248,0.8558831508174528,0.007877994021157363,119679,1.0
S-A,seed08,6,9865,0.7484232877883118,0.05112236582295008,0.7894625656731209,0.008839466412734531,99989,1.0
S-A,seed08,7,7871,0.7259565716486589,0.07557600070135183,0.7294931050299486,0.009739942672675727,79655,1.0
S-A,seed08,8,5910,0.6587145017765661,0.10191246842203994,0.6706433573822833,0.010640918496425272,59539,1.0
S-A,seed08,9,3881,0.7126325917306967,0.12065566622736412,0.6135974220715061,0.011879225044444542,39600,1.0
