scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-C,random_forest__per_dy__log1p__two_stage,duan,10,-38.41766658439849,5.065823663398632,38.71709465132673,-39.396034203784545,39.52276161225474
S-C,random_forest__per_dy__log1p__two_stage,insample_global,10,-45.643542053580624,4.386711709058379,45.83286862998578,-46.50499772452586,46.58527681246121
S-C,random_forest__per_dy__log1p__two_stage,iso_global,10,-42.664752327352446,4.260444213775021,42.85577367827054,-43.55426342701791,43.63976876912392
S-C,random_forest__per_dy__log1p__two_stage,none,10,-67.36310231219719,2.4761466226353535,67.40404828354642,-67.86276025508609,67.88539219454012
S-C,random_forest__per_dy__log1p__two_stage,paper,10,-45.0211917595821,4.242533311855561,45.20073989953092,-45.840594487571174,45.96534777941586
S-C,random_forest__per_dy__log1p__two_stage,shift_dy_bs1,10,-45.24364767954126,3.990867426296983,45.40178384032184,-46.07808912122886,46.16409539856039
S-C,random_forest__per_dy__log1p__two_stage,shift_global,10,-43.55167307703488,4.28760444849009,43.741209682917614,-44.441591096283375,44.51627794210416
S-C,random_forest__single_model__log1p__two_stage,cv_dy,10,-30.275719331521667,8.316100079437245,31.286753579097486,-31.466758427209534,31.97140002399473
S-C,random_forest__single_model__log1p__two_stage,cv_dy_bs1,10,-32.61140047493056,8.023314747368026,33.48790322665934,-33.73487952796059,34.21979223439571
S-C,random_forest__single_model__log1p__two_stage,cv_dy_bsmean,10,-26.71247441506619,8.448326373775688,27.8889420029089,-27.948418496805743,28.543529084117978
S-C,random_forest__single_model__log1p__two_stage,cv_dy_heur,10,-31.597359750643147,7.983574269270058,32.49241227599482,-32.71837789951918,33.24082160302977
S-C,random_forest__single_model__log1p__two_stage,cv_dy_zcv,10,-30.40594520699626,8.397893832959069,31.432366482298875,-31.599217445341544,32.11175408571427
S-C,random_forest__single_model__log1p__two_stage,cv_global,10,-23.414443598551212,8.950134795017098,24.906436730167044,-24.690311250719624,25.493067484598946
S-C,random_forest__single_model__log1p__two_stage,cv_type,10,-24.405498106504986,8.397057765099701,25.6727064998219,-25.65964137972391,26.310222023645068
S-C,random_forest__single_model__log1p__two_stage,cv_type_bs1,10,-24.541414324188008,8.391615906185066,25.800354896720023,-25.793008543378114,26.441151461168307
