scenario,dy,design,predictor,n,reps,n_all_zero_Y,alpha_n,alpha_P,V_n,mean_alpha_hat,sd_alpha_hat,coverage_alpha_n,coverage_alpha_n_Vn,coverage_alpha_P,mean_se_plugin,se_Vn,se_over_sd,sd_sqrtn_over_sqrtVn,bias_rel,misses_below,misses_above,mu_Y_folds,m_folds
S-B,4,random,f1,15000,2000,0,0.959140865501459,0.959140865501459,40.819476609445736,0.9588895107661803,0.05148761838096022,0.9395,0.9545,0.9395,0.05112292450743511,0.05216606598766784,0.9929168626362416,0.9869944648141954,-0.00026206237719554853,99,22,2268.62;2268.62;2268.62,2365.26;2365.26;2365.26
S-B,4,random,f2,15000,2000,0,3.5633711836326905,3.5633711836326905,590.3137985743715,3.5670827052770466,0.19874821832410622,0.942,0.948,0.942,0.19529492618271388,0.19837906451612133,0.9826247894420823,1.001860850634039,0.0010415759271456117,89,27,2268.62;2268.62;2268.62,636.65;636.65;636.65
S-B,5,random,f1,600,2000,0,0.8764380948796446,0.8764380948796446,50.74278515408137,0.8608369937190732,0.2766889932209776,0.844,0.963,0.844,0.2399518138096947,0.29081146571298666,0.8672257288458787,0.9514377039523364,-0.017800573995718254,307,5,1729.11;1729.11;1729.11,1972.88;1972.88;1972.88
S-B,5,random,f2,600,2000,0,4.626092431916699,4.6260924319167,1520.1579212315644,4.723007476653622,1.6240494652046709,0.865,0.95,0.865,1.4131142773403036,1.5917275317672748,0.8701177566424776,1.0203061973813505,0.020949655927382627,260,10,1729.11;1729.11;1729.11,373.773;373.773;373.773
S-B,5,random,f1,3000,2000,0,0.8764380948796446,0.8764380948796446,50.74278515408137,0.8719891843094942,0.12639263517977112,0.919,0.9575,0.919,0.11950281908598247,0.1300548411941175,0.9454887851338085,0.97184106350274,-0.005076126421411815,150,12,1729.11;1729.11;1729.11,1972.88;1972.88;1972.88
S-B,5,random,f2,3000,2000,0,4.626092431916699,4.6260924319167,1520.1579212315644,4.624095520442227,0.7088866641424416,0.9195,0.9595,0.9195,0.6660104544276854,0.7118421925379165,0.9395161287642155,0.9958480567372137,-0.0004316626837576265,151,10,1729.11;1729.11;1729.11,373.773;373.773;373.773
S-B,5,random,f1,15000,2000,0,0.8764380948796446,0.8764380948796446,50.74278515408137,0.8766011177064249,0.0575475017306808,0.9405,0.945,0.9405,0.056542319009852945,0.058162293142597334,0.9825329911708061,0.9894297253650362,0.00018600609413566723,98,21,1729.11;1729.11;1729.11,1972.88;1972.88;1972.88
S-B,5,random,f2,15000,2000,0,4.626092431916699,4.6260924319167,1520.1579212315644,4.630718707161091,0.31541001146527714,0.942,0.9485,0.942,0.3107751275204578,0.31834550635345493,0.985305209802037,0.9907789027029063,0.0010000395176876862,97,19,1729.11;1729.11;1729.11,373.773;373.773;373.773
S-B,6,random,f1,600,2000,0,0.789944683199288,0.789944683199288,60.993265107420825,0.7827093307289552,0.32772363225435563,0.816,0.9555,0.816,0.257129210582074,0.3188345054188793,0.7845916048632975,1.027880065314129,-0.009159315359943323,364,4,1305.34;1305.34;1305.34,1652.45;1652.45;1652.45
S-B,6,random,f2,600,2000,0,7.184846089325068,7.184846089325068,6275.059082292179,7.73278238554622,4.2235236361530015,0.8445,0.934,0.8445,3.0354518682128577,3.233949876516378,0.718701285871742,1.3059953918341478,0.0762627743738662,299,12,1305.34;1305.34;1305.34,181.68;181.68;181.68
S-B,6,random,f1,3000,2000,0,0.789944683199288,0.789944683199288,60.993265107420825,0.7923747792687162,0.14323572024061232,0.912,0.9505,0.912,0.1333223041444968,0.14258712553782785,0.9307894980423695,1.0045487606285493,0.003076286379428883,169,7,1305.34;1305.34;1305.34,1652.45;1652.45;1652.45
S-B,6,random,f2,3000,2000,0,7.184846089325068,7.184846089325068,6275.059082292179,7.317668947511058,1.5147198980750878,0.9285,0.9505,0.9285,1.404332785678504,1.4462663519435346,0.9271237457586289,1.0473312167150701,0.018486527969378934,136,7,1305.34;1305.34;1305.34,181.68;181.68;181.68
S-B,6,random,f1,15000,2000,0,0.789944683199288,0.789944683199288,60.993265107420825,0.7914805175965682,0.06459830095802246,0.932,0.9475,0.932,0.062331373971443865,0.06376690108377586,0.964907328010814,1.0130381100557848,0.0019442303112416298,118,18,1305.34;1305.34;1305.34,1652.45;1652.45;1652.45
S-B,6,random,f2,15000,2000,0,7.184846089325068,7.184846089325068,6275.059082292179,7.223805605477344,0.6669809074056201,0.94,0.9435,0.94,0.6397788410331257,0.6467899753032756,0.9592161243740794,1.0312171382880155,0.005422456607687257,100,20,1305.34;1305.34;1305.34,181.68;181.68;181.68
S-B,7,random,f1,600,2000,0,0.6968588835771762,0.6968588835771762,71.51433243341029,0.6817228922353815,0.3370972940975597,0.787,0.9625,0.787,0.26146755778954955,0.345239850040061,0.7756441904688738,0.9764147854265478,-0.021720310522694762,422,4,958.498;958.498;958.498,1375.45;1375.45;1375.45
S-B,7,random,f2,600,2000,0,12.036388740628862,12.036388740628862,32824.74629478422,14.655802488501191,11.021243902836828,0.825,0.905,0.825,7.230214081770884,7.396479601222938,0.6560252314087572,1.490066152688986,0.2176245553643919,306,44,958.498;958.498;958.498,79.6334;79.6334;79.6334
S-B,7,random,f1,3000,2000,0,0.6968588835771762,0.6968588835771762,71.51433243341029,0.6937898573325836,0.1521928658827736,0.8855,0.9575,0.8855,0.13820403663617112,0.15439595464628197,0.9080848555846411,0.9857309165349856,-0.004404085700735289,224,5,958.498;958.498;958.498,1375.45;1375.45;1375.45
