kind,scenario,dy,group,n,empirical,analytic,se,z,quad_rel_err,expected_active,normal_approx_ok
"lower P(Y>0|c,k,r)",S-A,5.0,Technical r=1,5380,0.020631970260223047,0.015920868196008766,0.0017065037494305311,2.760674897893661,,85.65432939512814,True
"lower E[Y|c,k,r]",S-A,5.0,Bodily r=1,9674,2566.9502495972215,2721.0030193995535,112.61758623966553,-1.3679281801910297,,1921.8163015153173,True
"lower P(Y>0|c,k,r)",S-A,5.0,Bodily r=1,9674,0.19836675625387637,0.198657876939768,0.004056568739073786,-0.0717652539910114,,1921.8163015153173,True
"lower E[Y|c,k,r]",S-A,5.0,Bodily r=2,1358,4967.330877459359,4801.280392347446,423.58283328799655,0.39201419902447826,,409.7179740007754,True
"lower P(Y>0|c,k,r)",S-A,5.0,Bodily r=2,1358,0.30633284241531666,0.3017069027988036,0.012455512812109902,0.3713969618348837,,409.7179740007754,True
"lower E[Y|c,k,r]",S-A,5.0,Bodily r=3,160,9264.08606679073,8567.033893237654,1731.1713755991968,0.402647700498057,,74.1362597076002,True
"lower P(Y>0|c,k,r)",S-A,5.0,Bodily r=3,160,0.4875,0.4633516231725011,0.039422146098030166,0.6125586559252671,,74.1362597076002,True
"lower E[Y|c,k,r]",S-A,5.0,Annuity r=1,1326,46322.38499628547,43899.77616578984,2086.776649848948,1.1609334571915,,1158.181714842969,True
"lower P(Y>0|c,k,r)",S-A,5.0,Annuity r=1,1326,0.8755656108597285,0.873440207272224,0.009130460992909695,0.23278162944400643,,1158.181714842969,True
"lower E[Y|c,k,r]",S-A,5.0,Annuity r=2,445,53538.65907912507,46455.142672476795,3545.5902348612185,1.9978384239106917,,432.39419066172604,True
"lower P(Y>0|c,k,r)",S-A,5.0,Annuity r=2,445,0.9820224719101124,0.9716723385656765,0.007864756406291635,1.316014484079383,,432.39419066172604,True
"lower E[Y|c,k,r]",S-A,5.0,Annuity r=3,99,45155.51581904951,44283.80023928706,7155.177789975042,0.12183003768037629,,96.40094888240596,True
"lower P(Y>0|c,k,r)",S-A,5.0,Annuity r=3,99,0.98989898989899,0.973746958408141,0.016069237628775424,1.005152320476318,,96.40094888240596,True
"lower P(c,r|k)",S-A,6.0,Material r=1,98608,0.761743469089729,0.7587285717380172,0.0013625112340065865,2.212750454061404,,,
"lower P(c,r|k)",S-A,6.0,Material r=2,98608,3.0423495051111473e-05,2.755697909255715e-05,1.6716823001958396e-05,0.17147492428546426,,,
"lower P(c,r|k)",S-A,6.0,Technical r=1,98608,0.06875709881551192,0.07072775659226248,0.0008164138223257382,-2.413797663465187,,,
"lower P(c,r|k)",S-A,6.0,Technical r=2,98608,6.0846990102222946e-05,7.200842698579811e-05,2.7022153070655204e-05,-0.41304765221302675,,,
"lower P(c,r|k)",S-A,6.0,Bodily r=1,98608,0.12290077884147331,0.1230902393604048,0.0010462444927857536,-0.18108627594973467,,,
