scenario,dy,design,learner,n,reps,n_defined,n_undefined,alpha_inf,V_inf,mbar_inf,mean_alpha_hat,mean_alpha_n,mean_alpha_pop,coverage_alpha_n,coverage_alpha_n_V,coverage_alpha_inf,coverage_alpha_inf_V,coverage_alpha_pop,mean_se_plugin,se_V,sd_alpha_hat,sd_alpha_hat_minus_alpha_n,sd_alpha_hat_minus_alpha_inf,se_over_sd,sd_sqrtn_over_sqrtV,mean_sqrtn_centring_bias,sd_sqrtn_centring_bias,mean_sqrtn_centring_bias_rel,mean_rel_centring_bias,mean_gap_pop_minus_n_over_se,mean_gap_inf_minus_n_over_se,mean_alpha_hat_over_alpha_inf,frac_fallback_cells,misses_below_n,misses_above_n
S-A,8,random,log,15000,2000,2000,0,20.616273946142062,115656.92450599483,54.85037499974129,15.862383983875228,15.810775562083203,17.645701292323647,0.9455,0.964,0.4295,0.4815,0.797,2.4921016852769586,2.7767718008026856,4.277563958604761,2.5840134974270033,4.277563958604761,0.9644305990500573,0.9305818708905206,2599.490509171171,2374.300138773494,47.39239265334889,0.3869572656344365,0.76067905930455,2.4706016738822836,0.7694108074676398,0.00029003333333333335,85,24
S-A,8,random,raw,15000,2000,2000,0,1.0,131.32862494687728,1130.8103570432884,1.0021061083458072,1.0094823935336315,1.0088997104752329,0.932,0.944,1.0,1.0,0.933,0.09167052397654021,0.09356944834252873,0.01565201978868321,0.09414404034738078,0.01565201978868321,0.9737262564713224,1.006140807870841,-111.37550596666499,12976.24553203366,-0.09849176325009686,-0.0008041818794324712,-0.0060158103382836675,-0.17811570763333368,1.0021061083458072,0.00029003333333333335,118,18
S-A,9,random,log,600,2000,2000,0,36.56206611273058,613312.3532965155,27.047502382331498,48.23096431548349,12.377523572098298,30.11806501388705,0.838,0.9085,0.219,0.9205,0.616,33.452018027440445,31.97166332073126,300.48175275390724,301.3825806609113,300.48175275390724,0.11099519406225293,9.426553058485606,7039.045561981816,7901.475265612101,260.24752535302486,10.624560732282323,7.93013829351078,16.43072665338946,1.3191531399449528,0.009071666666666665,307,17
S-A,9,random,raw,600,2000,2000,0,1.0,165.92754755063248,988.912570287042,1.4824339407726872,1.6506105430587645,1.5286939385562481,0.8385,0.7615,0.9975,0.8855,0.8485,0.7900627161640712,0.5258763282221282,1.1510560647892427,1.7078305868776034,1.1510560647892427,0.4626118786222988,3.2475897758155456,-3455.6643503033915,14214.479583778482,-3.494408357353927,-0.14265862380723762,-0.12752706161786598,-1.0561282669462526,1.4824339407726872,0.009071666666666665,321,2
S-A,9,random,log,3000,2000,2000,0,36.56206611273058,613312.3532965155,27.047502382331498,16.03112216602736,13.260450352056127,18.995182147625787,0.845,0.959,0.198,0.5975,0.625,6.428888977967656,14.298162507778352,18.726210054156784,15.69721565790998,18.726210054156784,0.4095560077705931,1.0978484577560599,4629.802226034203,4184.515354416499,171.17300372468307,3.1251771791974905,1.661552744109645,7.8932604204552295,0.4384632453920723,0.0017723333333333334,231,79
S-A,9,random,raw,3000,2000,2000,0,1.0,165.92754755063248,988.912570287042,1.0404079573688796,1.089094219971957,1.0731607040512805,0.894,0.9165,0.9985,0.998,0.894,0.2326795414346326,0.23517904353253394,0.08818447528787253,0.2647810380423334,0.08818447528787253,0.8787621015271933,1.1258700352937885,-1435.5653504591555,13580.568691629123,-1.4516605346036489,-0.026503574021414237,-0.06415013333400009,-0.4819514122639288,1.0404079573688796,0.0017723333333333334,208,4
S-A,9,random,log,15000,2000,2000,0,36.56206611273058,613312.3532965155,27.047502382331498,23.587703444671533,23.495466076266315,27.97650733313403,0.929,0.9695,0.3055,0.3915,0.718,4.7756478637444815,6.394332664146251,8.66462599665231,5.459187653388282,8.664625996652308,0.8747909335522553,0.8537540882097934,2506.6615548080663,2388.214354753657,92.67626708651359,0.7566985520928309,0.9888815144778191,3.6148466161789727,0.6451414253216535,0.0003132,109,33
S-A,9,random,raw,15000,2000,2000,0,1.0,165.92754755063248,988.912570287042,1.0017363368854948,1.0151800520165621,1.014541920061517,0.9335,0.948,1.0,1.0,0.935,0.10233897132845948,0.10517526564442564,0.018028088601250825,0.10659740171705051,0.018028088601250825,0.9600512740461113,1.0135215828922441,-485.39031209210316,12803.338541111993,-0.4908323816242054,-0.004007629614047765,-0.0053076650166051995,-0.21983601602204514,1.0017363368854948,0.0003132,122,11
S-A,2,blocks,log,600,2000,2000,0,7.182296151610542,1503.0419124897571,533.6878005159758,5.668149654253264,5.671881782758212,6.384649555286607,0.9145,0.953,0.5685,0.758,0.795,1.3894350597755631,1.5827412467455302,2.1815201975096747,1.5816846916649918,2.1815201975096747,0.8784526189685422,0.9993324524253658,5573.749434619706,6679.304274293349,10.443838943350285,0.426367939450267,0.5419645793507091,1.649188718244514,0.789183505470218,0.0012875,155,16
S-A,2,blocks,raw,600,2000,2000,0,1.0,16.841389469734562,3833.103835807388,1.0095781699288664,1.0383064458154694,1.0350058483678153,0.8985,0.937,1.0,0.999,0.895,0.158376916404358,0.16753800300098365,0.057376828150244356,0.1759716214560683,0.057376828150244356,0.9000139630121959,1.0503385399373248,-819.6018101824046,16520.128192266155,-0.21382196916399665,-0.008729245337481846,-0.018325449531737797,-0.400695873359129,1.0095781699288664,0.0012875,196,7
